title,url,date
2022，再現台股盛世？回顧2021台股12大驚奇,https://www.cw.com.tw/graphics/taiwan-stock-market-2021/index.html,2022-02-15T14:21:43Z
2022最新》台灣疫情動態：22縣市現況、疫苗進度一次看,https://www.cw.com.tw/graphics/covid-live-updates-2021/,2022-02-15T14:21:44Z
不斷更新》後疫情時代來了？4 大另類數據帶你看,https://www.cw.com.tw/graphics/macro-dashboard/,2022-02-09T12:00:07Z
公投即時開票》吹響 2022 的號角！全台 368 鄉鎮，藍綠風向怎麼吹？｜天下雜誌,https://www.cw.com.tw/graphics/referendum-2021/,2022-02-15T14:21:44Z
最危險的海峽——共機行為變了！擾台機型、路線全解析,https://web.cw.com.tw/taiwan-strait-2021/index.html,2021-12-03T17:10:29Z
日落就缺電？ 第二尖峰的供電危機,https://web.cw.com.tw/taipower-2021/index.html,2021-11-01T15:43:14Z
不能遺忘的49條生命——重建0402太魯閣號事故現場，誰說謊？誰跳票？,https://web.cw.com.tw/tra-train-crash/index.html,2021-11-01T15:37:48Z
Fast 100》2021最新榜單出爐！大疫當前，誰是台灣最強中小企業？,https://web.cw.com.tw/2021fast100/index.html,2021-11-01T15:37:48Z
【年度鉅獻】台灣人，你幸福嗎？永續幸福，獻給每個人的幸福提案,https://40.cw.com.tw/taiwan-better-life-index-2021/,2021-08-27T18:33:28Z
【兩千大調查】韌性企業200強：疫情壓境，為什麼他們能持續成長？,https://web.cw.com.tw/cw2000database/news2021/index.html,2021-08-27T18:33:28Z
不斷更新》台灣疫情最新動態：關鍵數字、群聚關係一次看,https://web.cw.com.tw/covid-live-updates-2021/,2021-06-25T18:25:32Z
即時水情地圖》下雨了，台灣水庫解渴了嗎？,https://web.cw.com.tw/drought-2021/index.html,2021-06-11T18:33:21Z
即時更新》華航機師染疫　最新發展,https://web.cw.com.tw/china-airlines-covid19/index.html,2021-05-28T17:28:24Z
數據還原》「大排長榮」打亂歐亞貿易，台商受影響？,https://web.cw.com.tw/ever-given/index.html,2021-05-14T10:57:37Z
我的天下．天下的我｜天下40 數位專輯,https://40.cw.com.tw/my-cw/,2021-05-07T18:04:31Z
即時更新》桃醫群聚最新發展：深度解析、病例關係一次看,https://web.cw.com.tw/taoyuan-covid-19/index.html,2021-03-26T14:29:45Z
【年度回顧】2020，慢走不送！盤點最重要的N個時刻,https://web.cw.com.tw/year-in-photos-2020/,2021-01-22T18:21:27Z
【調查報導】山坡上的種電奇蹟：綠電來了，石虎請讓道,https://web.cw.com.tw/solar-2020/index.html,2021-01-08T12:43:24Z
3D地圖解析》拜登上台，美中續戰　亞洲情勢全解析,https://web.cw.com.tw/us-2020/us-china/,2020-12-30T19:03:55Z
即時開票》川普 vs. 拜登終極對決　搖擺州的決定是？,https://web.cw.com.tw/us-2020/,2020-11-26T17:43:30Z
考招新制—學習歷程檔案全攻略》創意思考　迎戰108課綱,https://web.cw.com.tw/2020edu/,2021-02-26T11:08:47Z
美國選票開箱》公投綁大選、選票落落長！海外美國人投票大解密,https://web.cw.com.tw/us-2020/overseas-voter/,2020-11-19T16:42:56Z
即時開票｜高雄補選，勝負已定？三大圖表告訴你，事情不是你想的那樣,https://web.cw.com.tw/kaohsiung-by-election-2020/index.html,2020-11-03T18:26:06Z
Fast 100》2020最新榜單！打敗黑天鵝，台灣成長最快中小企業一百強,https://web.cw.com.tw/2020fast100/index.html,2020-10-29T14:57:12Z
政治獻金大解密：企業愛押寶誰？誰又是吸金王？,https://web.cw.com.tw/corporate-political-money-2020/index.html,2020-10-15T19:09:13Z
【線上遊戲】改造福爾摩沙大作戰：你會是「傳說級」島主嗎？,https://cw-2020-anniversary-game.web.app/,2020-10-05T16:11:24Z
【動手查一查】個人風險指數：環境緊急狀態，離你有多遠？,https://web.cw.com.tw/climate-2020/personal/,2020-09-30T16:44:56Z
【天下39週年鉅獻】與地球和好——疫情的盡頭，行動的開始,https://web.cw.com.tw/climate-2020/index.html,2020-08-26T21:22:32Z
【即時開票】「罷韓」開票地圖：挺韓 vs. 罷韓，激戰區在哪裡？,https://web.cw.com.tw/recall-han/index.html,2020-12-14T14:34:00Z
【兩千大調查】台灣最強50大集團出列！20年誰上誰下？,https://web.cw.com.tw/cw2000database/news2020/index.html,2020-12-14T14:34:00Z
數據模擬》全境感染30天——當台北淪陷時，哪一種封城手段最有效？,https://web.cw.com.tw/covid19-taipei-lockdown/index.html,2020-12-14T14:34:01Z
不斷更新｜全球經濟大當機！10大關鍵圖表，新冠肺炎下一波將襲擊哪個國家？,https://web.cw.com.tw/coronavirus-outbreak-live-updates/index.html,2020-12-14T14:34:01Z
不斷更新》決戰2020！得票地圖、即時解析、機器人開票，總統立委選情一次掌握,https://web.cw.com.tw/2020-taiwan-presidential-election/index.html,2020-03-30T20:19:25Z
2020立委關鍵政策　財產、輿情全解析,https://web.cw.com.tw/2020-taiwan-presidential-election/legislative-election/key-issue.html,2020-03-19T20:01:52Z
